adult,backdrop_path,belongs_to_collection,budget,genres_1_id,genres_1_name,genres_2_id,genres_2_name,genres_3_id,genres_3_name,homepage,id,imdb_id,origin_country_1,original_language,original_title,overview,popularity,poster_path,production_companies_1_id,production_companies_1_logo_path,production_companies_1_name,production_companies_1_origin_country,production_companies_2_id,production_companies_2_logo_path,production_companies_2_name,production_companies_2_origin_country,production_companies_3_id,production_companies_3_logo_path,production_companies_3_name,production_companies_3_origin_country,production_companies_4_id,production_companies_4_logo_path,production_companies_4_name,production_companies_4_origin_country,production_companies_5_id,production_companies_5_logo_path,production_companies_5_name,production_companies_5_origin_country,production_countries_1_iso_3166_1,production_countries_1_name,release_date,revenue,runtime,spoken_languages_1_english_name,spoken_languages_1_iso_639_1,spoken_languages_1_name,status,tagline,title,video,vote_average,vote_count,belongs_to_collection_id,belongs_to_collection_name,belongs_to_collection_poster_path,belongs_to_collection_backdrop_path,genres_4_id,genres_4_name,genres_5_id,genres_5_name,spoken_languages_2_english_name,spoken_languages_2_iso_639_1,spoken_languages_2_name,production_companies_6_id,production_companies_6_logo_path,production_companies_6_name,production_companies_6_origin_country,production_companies_7_id,production_companies_7_logo_path,production_companies_7_name,production_companies_7_origin_country,production_companies_8_id,production_companies_8_logo_path,production_companies_8_name,production_companies_8_origin_country,production_companies_9_id,production_companies_9_logo_path,production_companies_9_name,production_companies_9_origin_country,production_companies_10_id,production_companies_10_logo_path,production_companies_10_name,production_companies_10_origin_country,production_companies_11_id,production_companies_11_logo_path,production_companies_11_name,production_companies_11_origin_country,production_countries_2_iso_3166_1,production_countries_2_name,production_countries_3_iso_3166_1,production_countries_3_name,production_countries_4_iso_3166_1,production_countries_4_name,spoken_languages_3_english_name,spoken_languages_3_iso_639_1,spoken_languages_3_name,spoken_languages_4_english_name,spoken_languages_4_iso_639_1,spoken_languages_4_name,spoken_languages_5_english_name,spoken_languages_5_iso_639_1,spoken_languages_5_name,origin_country_2,genres_6_id,genres_6_name,spoken_languages_6_english_name,spoken_languages_6_iso_639_1,spoken_languages_6_name,production_companies_12_id,production_companies_12_logo_path,production_companies_12_name,production_companies_12_origin_country,spoken_languages_7_english_name,spoken_languages_7_iso_639_1,spoken_languages_7_name,genres_7_id,genres_7_name,origin_country_3,origin_country_4,production_countries_5_iso_3166_1,production_countries_5_name
False,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,,0,28,Action,27.0,Horror,53.0,Thriller,,1096197,tt16253418,GB,en,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,2768.363,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,19638.0,/6R3XtbihMWuDRFnlm4MkpxhmEKf.png,Altitude Film Entertainment,GB,290.0,/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png,Ingenious Media,GB,177401.0,/qGH1GhknZ1P8xv84tDILE8D2Cev.png,Hyprr Films,GB,215092.0,,Sarma Films,GB,218231.0,/qI1nnORhDrF2V18KdjitkIOdgN.png,Dimension Studio,GB,GB,United Kingdom,2024-01-18,0,90,English,en,English,Released,Brace yourself.,No Way Up,False,6.478,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/FUnAVgaTs5xZWXcVzPJNxd9qGA.jpg,,83000000,878,Science Fiction,28.0,Action,18.0,Drama,https://www.netflix.com/title/81624666,934632,tt23137904,US,en,Rebel Moon — Part Two: The Scargiver,"The rebels gear up for battle against the ruthless forces of the Motherworld as unbreakable bonds are forged, heroes emerge — and legends are made.",2477.048,/cxevDYdeFkiixRShbObdwAHBZry.jpg,114152.0,/xYfrnGFXxrEy5x5OVThunxHYScK.png,The Stone Quarry,US,156880.0,,Grand Electric,US,,,,,,,,,,,,,US,United States of America,2024-04-19,0,123,English,en,English,Released,,Rebel Moon — Part Two: The Scargiver,False,6.129,541,934765.0,Rebel Moon Collection,/990xOjKvSiIxeKlwaH1i5WiH4zv.jpg,/tCo96jmjKEMoWa5eCZNNss3MtMH.jpg,12.0,Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/qrGtVFxaD8c7et0jUtaYhyTzzPg.jpg,,150000000,28,Action,878.0,Science Fiction,12.0,Adventure,https://www.godzillaxkongmovie.com,823464,tt14539740,US,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2372.572,/bQ2ywkchIiaKLSEaMrcT6e29f91.jpg,923.0,/8M99Dkt23MjQMTTWukq4m5XsEuo.png,Legendary Pictures,US,,,,,,,,,,,,,,,,,US,United States of America,2024-03-27,519380032,115,English,en,English,Released,Rise together or fall alone.,Godzilla x Kong: The New Empire,False,6.648,795,1280074.0,Kong Collection,/40wy7gNJqCpgxQ59LMwxiM5v70H.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,,85000000,16,Animation,28.0,Action,10751.0,Family,https://www.dreamworks.com/movies/kung-fu-panda-4,1011985,tt21692408,US,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",2020.311,/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg,521.0,/kP7t6RwGz2AvvTkvnI1uteEwHet.png,DreamWorks Animation,US,,,,,,,,,,,,,,,,,US,United States of America,2024-03-02,503540090,94,English,en,English,Released,,Kung Fu Panda 4,False,7.163,1376,77816.0,Kung Fu Panda Collection,/xoYc0RYKSc3xC4S9OpPZxKocKtj.jpg,/uDosHOFFWtF5YteBRygHALFqLw2.jpg,35.0,Comedy,14.0,Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/8uVKfOJUhmybNsVh089EqLHUYEG.jpg,,190000000,878,Science Fiction,12.0,Adventure,,,https://www.dunemovie.com,693134,tt15239678,US,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",1990.512,/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,923.0,/8M99Dkt23MjQMTTWukq4m5XsEuo.png,Legendary Pictures,US,,,,,,,,,,,,,,,,,US,United States of America,2024-02-27,704242968,167,English,en,English,Released,Long live the fighters.,Dune: Part Two,False,8.264,3447,726871.0,Dune Collection,/wcVafar6Efk3YgFvh8oZQ4yHL6H.jpg,/ygVSGv86R0BTOKJIb8RQ1sFxs4q.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/5Eip60UDiPLASyKjmHPMruggTc4.jpg,,9000000,27,Horror,9648.0,Mystery,53.0,Thriller,https://www.immaculate.film,1041613,tt23137390,US,en,Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",1542.821,/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg,22146.0,/jPBtpMh0AUFqf9yfOJXer9d5Rei.png,Black Bear Pictures,US,184023.0,/fpMQBF9krWUG3nPN4qV6d1ibkFM.png,Fifty-Fifty Films,US,216431.0,,Middle Child Films,US,,,,,,,,,US,United States of America,2024-03-20,21906717,89,English,en,English,Released,Not every intervention is divine.,Immaculate,False,6.2,310,,,,,,,,,Italian,it,Italiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/qnVm19Vu2Sc14LoEj82pmqAYr3p.jpg,,39000000,12,Adventure,28.0,Action,18.0,Drama,,845111,tt12672620,FR,fr,Les trois mousquetaires : Milady,"D'Artagnan, on a quest to rescue the abducted Constance, runs into the mysterious Milady de Winter again. The tension between the Catholics and the Protestants finally escalates, as the king declares war — forcing the now four musketeers into battle. But as the war goes on, they are tested physically, mentally and emotionally.",1352.91,/rtosxP5sXuoRFPH4sVbMccLIPiV.jpg,7981.0,/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png,Pathé,FR,20339.0,/zPj4RPXztwznZcKDef583wqKERy.png,Chapter 2,FR,123175.0,/sexBzUUok6HAuTc3cg8eRc84TKX.png,DeAPlaneta,ES,47.0,/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png,Constantin Film,DE,19037.0,/tceh2aAORA5JxIZSLQ1GkzTBZDL.png,uMedia,BE,BE,Belgium,2023-12-13,20888270,121,French,fr,Français,Released,"The adventure continues, chaos ensues...",The Three Musketeers: Milady,False,6.533,344,913258.0,The Three Musketeers Collection,/qKgZ5e83JjeAyJ2Y2okl0g9YSBH.jpg,/RfneAULQMXEEnnXm1E0f2BykrW.jpg,,,,,,,,8676.0,/5u4GmXn4QMU39GQxGZoGfNtQ23r.png,uFilm,BE,11620.0,/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png,OCS,FR,20346.0,,Région Bretagne,FR,310.0,/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png,CNC,FR,104.0,/9aotxauvc9685tq9pTcRJszuT06.png,Canal+,FR,11246.0,/4YZ5CQZkJa2FIKGtjLLoKhNOAIw.png,La Région Île-de-France,FR,FR,France,DE,Germany,ES,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/vTlK3chwsEToSoQJYUcJaHlNhIf.jpg,,19000000,18,Drama,12.0,Adventure,,,https://www.arthurtheking.movie/,618588,tt10720352,US,en,Arthur the King,"Over the course of ten days and 435 miles, an unbreakable bond is forged between pro adventure racer Michael Light and a scrappy street dog companion dubbed Arthur. As the team is pushed to their outer limits of endurance in the race, Arthur redefines what victory, loyalty and friendship truly mean.",1308.397,/gxVcBc4VM0kAg9wX4HVg6KJHG46.jpg,24049.0,/zOHQ0A3PpNoLLeAxRZwSqNV3nPr.png,Sierra/Affinity,US,8147.0,/q6HOAdSNgCbeOqwoMVRc6REgbXF.png,Entertainment One,CA,100033.0,/74LDJbOFdya1ijNT11uh0mM5eg0.png,Tucker Tooley Entertainment,US,169668.0,,Municipal Pictures,US,11761.0,,Mark Canton Productions,,CA,Canada,2024-03-15,31649885,107,English,en,English,Released,An unexpected encounter. An unlikely bond. An unforgettable adventure.,Arthur the King,False,6.79,69,,,,,,,,,Spanish,es,Español,,,,,,,,,,,,,,,,,,,,,,,,,US,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/ilK1JRbMjo4sMJtNKLOKnqRf1RH.jpg,,0,10752,War,28.0,Action,36.0,History,,976906,tt13434866,US,en,Spitfire Over Berlin,"August 1944. With the American Eighth Air Force poised to strike over Nazi Germany, British Intelligence learns that they could be flying into a deadly trap. With only hours to spare, Flight Lieutenant Edward Barnes must fly a life and death mission over Berlin in his unarmed Spitfire to obtain photographic evidence and save the lives of 1200 men.",1361.985,/xtPPOPTad1qopK6uDe3VlYUa22o.jpg,95706.0,/6H2AkKh3Li9jvzfxSublaPiVPIY.png,Tin Hat Productions,GB,,,,,,,,,,,,,,,,,GB,United Kingdom,2022-05-13,0,80,English,en,English,Released,One pilot's heroic mission to hell and back.,Spitfire Over Berlin,False,3.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,/keVfqCMKmJ55nHzmqR2Q5K7LwJt.jpg,,30069500,28,Action,53.0,Thriller,10752.0,War,,784651,tt13818368,IN,hi,फाइटर,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. Fighter unfolds their camaraderie, brotherhood and battles, internal and external.",1068.097,/zDZowwb9GZGEctAu2PCpjiPQAMM.jpg,147147.0,,Marflix Pictures,IN,6808.0,/xa1Yz7B5eRC2F9oHA6mDn8NE6ci.png,Viacom18 Studios,IN,15357.0,/uvaRT02pY9U8qLH8a9WwwAroDqr.png,Prime Focus,IN,,,,,,,,,IN,India,2024-01-24,43160558,167,Hindi,hi,हिन्दी,Released,,Fighter,False,5.1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
